,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,Valence,time_signature
36,Wetin Man Go Do,African Giant,Burna Boy,2019-07-25,188178,41,0.847,0.159,0.847,0.537,6.33e-05,0.25,-11.725,0.065,98.224,0.946,4
37,Dangote,African Giant,Burna Boy,2019-07-25,225407,40,0.639,0.529,0.639,0.661,0.0,0.0863,-5.009,0.378,128.613,0.808,5
38,Gum Body (feat. Jorja Smith),African Giant,Burna Boy,2019-07-25,195073,48,0.75,0.161,0.75,0.404,0.0,0.0863,-11.343,0.0903,96.965,0.763,4
39,Killin Dem (feat. Zlatan),African Giant,Burna Boy,2019-07-25,223531,38,0.89,0.105,0.89,0.709,0.164,0.113,-9.255,0.0993,112.976,0.609,4
40,Omo,African Giant,Burna Boy,2019-07-25,147168,40,0.873,0.176,0.873,0.556,0.000165,0.119,-9.954,0.0705,100.067,0.895,4
41,Secret (feat. Jeremih & Serani),African Giant,Burna Boy,2019-07-25,202938,43,0.638,0.0715,0.638,0.809,0.0134,0.113,-7.523,0.0634,101.751,0.564,4
42,Collateral Damage,African Giant,Burna Boy,2019-07-25,197565,45,0.731,0.375,0.731,0.698,0.473,0.155,-11.685,0.0473,102.027,0.925,4
43,Another Story (feat. M.anifest),African Giant,Burna Boy,2019-07-25,256013,37,0.713,0.637,0.713,0.529,0.000226,0.0994,-12.949,0.243,102.294,0.954,4
44,Pull Up,African Giant,Burna Boy,2019-07-25,187866,40,0.685,0.439,0.685,0.449,0.0046,0.0928,-13.187,0.0418,99.071,0.615,4
45,Blak Ryno (Skit),African Giant,Burna Boy,2019-07-25,66884,30,0.596,0.666,0.596,0.199,0.0,0.11,-18.588,0.418,118.221,0.77,5
46,Destiny,African Giant,Burna Boy,2019-07-25,197386,34,0.668,0.16,0.668,0.469,0.0,0.115,-11.369,0.339,145.316,0.522,5
47,Different (feat. Damian Marley & Angélique Kidjo),African Giant,Burna Boy,2019-07-25,196401,34,0.685,0.0626,0.685,0.49,0.0,0.298,-10.914,0.546,118.378,0.482,3
48,Gbona,African Giant,Burna Boy,2019-07-25,187609,54,0.809,0.568,0.809,0.813,0.000148,0.108,-5.867,0.163,93.892,0.934,4
49,On The Low,African Giant,Burna Boy,2019-07-25,185898,55,0.816,0.691,0.816,0.782,0.00871,0.0836,-4.237,0.0425,99.951,0.938,4
50,Show & Tell (feat. Future),African Giant,Burna Boy,2019-07-25,162951,34,0.636,0.0624,0.636,0.453,8.46e-06,0.0607,-11.843,0.222,125.36,0.525,5
51,This Side (feat. YG),African Giant,Burna Boy,2019-07-25,202646,33,0.672,0.0394,0.672,0.458,0.0,0.0862,-11.263,0.455,126.984,0.797,5
52,Spiritual,African Giant,Burna Boy,2019-07-25,221880,37,0.867,0.1,0.867,0.485,0.000352,0.106,-11.354,0.07,112.997,0.751,4
53,More Life,Outside,Burna Boy,2018-01-26,93965,41,0.823,0.522,0.823,0.598,7.21e-05,0.0308,-7.512,0.205,100.024,0.78,4
54,City Vibration,Outside,Burna Boy,2018-01-26,225258,30,0.781,0.0791,0.781,0.765,0.0,0.202,-4.836,0.0922,102.952,0.385,4
55,Koni Baje,Outside,Burna Boy,2018-01-26,203913,28,0.695,0.291,0.695,0.784,0.0022,0.0353,-5.763,0.0918,179.839,0.966,3
56,Sekkle Down,Outside,Burna Boy,2018-01-26,188362,38,0.838,0.496,0.838,0.647,0.0,0.107,-5.983,0.222,92.919,0.962,4
57,Where I'm From,Outside,Burna Boy,2018-01-26,187106,27,0.734,0.634,0.734,0.656,0.0,0.0891,-6.778,0.109,131.93,0.681,5
58,Heavens Gate,Outside,Burna Boy,2018-01-26,202446,35,0.848,0.0376,0.848,0.853,1.3e-05,0.337,-5.899,0.196,102.006,0.647,4
59,Ye,Outside,Burna Boy,2018-01-26,231618,55,0.501,0.018,0.501,0.592,0.000138,0.174,-5.923,0.446,202.003,0.351,4
60,Giddem,Outside,Burna Boy,2018-01-26,211832,34,0.825,0.0688,0.825,0.771,0.0,0.155,-6.207,0.194,97.033,0.417,4
61,Street of Africa,Outside,Burna Boy,2018-01-26,211949,28,0.855,0.507,0.855,0.54,3.33e-06,0.0938,-6.647,0.0445,120.021,0.83,4
62,Rock Your Body,Outside,Burna Boy,2018-01-26,221228,42,0.801,0.104,0.801,0.625,0.00401,0.0872,-7.863,0.0979,104.988,0.824,4
63,Devil in California,Outside,Burna Boy,2018-01-26,195074,30,0.519,0.605,0.519,0.536,0.0,0.156,-8.744,0.207,128.292,0.558,4
64,Calm Down,Outside,Burna Boy,2018-01-26,266604,39,0.632,0.495,0.632,0.549,0.0,0.222,-7.494,0.0531,167.67,0.573,4
65,Outside,Outside,Burna Boy,2018-01-26,218250,28,0.589,0.627,0.589,0.666,0.0,0.26,-6.96,0.11,169.996,0.699,3
